OrganizationName,Address,Phone,Description,URL,Lat,Long
YWCA of the City of New York,,2127554500,"Established in 1858, the YWCA of the City of New York is one of the nation oldest non-profit organizations. Our mission is to address the critical needs of New York City women and to empower them for success and leadership in their lives, jobs and communities. We focus on underserved families through job training, educational child care and after school programs; partnerships with business, government and other not-for-profits; and advocacy on behalf of the clients we serve.",http://www.ywcanyc.org,,
Shorefront YM-YWHA,,7186461444,Community center and settlement house serving south Brooklyn with programming and services for people of all ages.  Specialty is serving Russian speaking immigrants and their families.,http://shorefronty.org,,
Federally Employed Women (FEW),"382 Holtsville
11742",6312584081,"FEW is an advocacy organization for women working for the federal government, working to eliminate barriers to advancement through education, networking, and representation before the Administration and Congress.",http://www.few.org,40.81054142,-73.04074226
Grace Institute,,2128327605,"For over 100 years, Grace Institute has provided tuition-free, practical job training in a supportive learning community for underserved New York area women of all ages and from many different backgrounds. In the tradition of its founding family, Grace is dedicated to the development of the personal and business skills necessary for self-sufficiency, employability and an improved quality of life.",http://graceinstitute.org/,,
Committed to Communities,,7177334161,"Committed to Communities Mobile Ministries is a non profit Certified Emergency Care and Safety Institute providing individuals with the knowledge and experience to engage in lifesaving measures. Instructors teach skills to promote healthy, safe and productive lifestyles for our neighbors. The outreach offered through the mobile ministries raises awareness to prevent injustice and stop atrocities associated with poverty and racial or religious intoloerance, while sharing a message of love and hope. The Ordained Members of The Clergy and Members of The Laity volunteer to serve as vital componets of the communities where they live and work by promoting the public good through programs to prevent cruelty to women, children and the elderly.",http://www.mobilechristianministries.com,,
Midtown Community Court/Fund for the City of New York,,6462641300,"The first community court in the nation, the Midtown Community Court is a criminal court that opened in 1993.  It hears misdemeanor and summons cases and combines punishment with help to deter future offending.  It holds low-level offenders accountable by sentencing them to perform community restitution that is immediate, visible, and meaningful. At the same time, it helps offenders address underlying problems, such as homelessness, unemployment, and substance abuse, by linking them to on-site social services such as mental health counseling, job training, and drug treatment. To meet the specific needs of women, we run Choices, a comprehensive initiative that helps women involved with the justice system to achieve their independence and transcend their pasts.",http://www.courtinnovation.org,,
ICD-International Center for the Disabled,,2125856000,"ICD's mission is to help people with disabilities achieve greater health and independence at home, on the job, at school and in the community. Each year, we provide high quality, comprehensive and integrated medical rehabilitation; cognitive rehabilitation; speech/language, learning and hearing services; mental health and addiction recovery services; and vocational rehabilitation and job placement services to 4,000 poor and low-income individuals from all five boroughs of New York City.",http://www.icdnyc.org,,
Institute for Labor and the Community,,2125053184,,,,
International Association of Administrative Professionals,,2128395313,,,,
"Mosholu Montefiore Community Center, Inc.",,7188824000, ,http://www.mmcc.org/,,
National Urban League,,2125585300,"Established in 1910, The Urban League is the nation's oldest and largest community- based movement devoted to empowering African Americans to enter the economic and social mainstream. Today, the National Urban League, headquartered in New York City, spear",http://www.nul.org,,
"New York Association for New Americans, Inc. (NYANA)",,2124252900,,,,
Palladia,,2129798800,"Founded in 1970, today Palladia, Inc. is one of the largest not-for-profit, multi-service agencies in New York City. With more than 30 years of experience, Palladia serves largely urban, poor individuals and families of color and is nationally recognized ",http://www.palladiainc.org,,
Service Corps of Retired Executives. New York Chapter.,,2122644507,,http://www.scorenyc.org/,,
Union Settlement Association,,2128286000,,http://www.unionsettlement.org/,,
"University Settlement Society of New York, Inc",,2126749120,,http://www.universitysettlement.org/,,
"Urban Youth Alliance International, Inc.","617 Bronx
10451
(40.82069640711353, -73.92384136798472)",7184026872,,http://www.uyai.org/,,
Wildcat Service Corporation,,2122096000,,http://www.wildcatnyc.org/,,
Women for Hire,,2122902600,"Founded in 1999 as the first and only company devoted to a comprehensive array of recruitment services for women, Women For Hire offers signature career expos, inspiring speeches and seminars, a popular career-focused magazine and customized marketing pro",http://www.womenforhire.com,,
Women's Prison Association and Home Inc.,,2126741163,"WPA is a service and advocacy organization committed to helping women with criminal justice histories realize new possibilities for themselves and their families. Our program services make it possible for women to obtain work, housing, and health care; to",http://www.wpaonline.org/,,
Mayor's Office for People with Disabilities,,2126399675,"The Mayor's Office for People with Disabilities works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities. We have developed a number of informative brochures and directories that detail programs, services, activities, and other resources that are accessible to people with disabilities. In addition, we work with organizations on specific issues affecting people with disabilities, and arrange activities and events that aim to bring about dialog that leads to meaningful outcomes.",http://www.nyc.gov/html/mopd/html/home/home.shtml,,
New York City Department of Small Business Services,,2126399675,"The Department of Small Business Services (SBS) makes it easier for businesses in New York City to form, do business, and grow by providing direct assistance to business owners, fostering neighborhood development in commercial districts, and linking employers to a skilled and qualified workforce.",http://www.nyc.gov/html/sbs/html/home/home.shtml,,
New York City Department of Youth and Community Development,,2126399675,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming.Ã¯Â¿Â_Our central task is administering available City, state, and federal funds to effective community-based organizations.Ã¯Â¿Â_Selected organizations must be in touch with the needs of the people they serve, devoted to the highest principles of community service, and committed to sound fiscal management.",http://www.nyc.gov/html/dycd/html/home/home.shtml,,
New York City Housing Authority,,2126399675,"The New York City Housing Authority (NYCHA) provides decent and affordable housing in a safe and secure living environment for low and moderate- income residents throughout the five boroughs. To fulfill this mission, NYCHA must preserve its aging housing stock through timely maintenance and modernization of its developments. NYCHA also administers a citywide Section 8 Leased Housing Program in rental apartments. Simultaneously, we work to enhance the quality of life at NYCHA by offering our residents opportunities to participate in a multitude of community, educational and recreational programs, as well as job readiness and training initiatives.",http://www.nyc.gov/html/nycha/html/home/home.shtml,,
NYC Center for Economic Opportunity,,2126399675,"The Center for Economic Opportunity (CEO) was established by Mayor Bloomberg on December 18, 2006 to implement innovative ways to reduce poverty in New York City. .Ã¯Â¿Â_ The CEO works with City agencies to design and implement evidence-based initiatives aimed at poverty reduction, and manages an Innovation Fund through which it provides City agencies annual funding to implement such initiatives. CEO oversees a rigorous evaluation of each program to determine which are successful in demonstrating results towards reducing poverty and increasing self-sufficiency among New Yorkers. The CEO is led by Executive Director Veronica White and reports directly to Deputy Mayor Linda Gibbs. Along with its partner agencies, the Center will continue to put into action the recommendations that have been made by the Commission for Economic Opportunity.",http://www.nyc.gov/html/ceo/html/home/home.shtml,,
NYC Information Technology Jobs Center,,2126399675,"At the Information Technology Jobs Center for the City of New York you will find lists of available technology jobs. If you are interested in a one or more of the jobs posted, please make sure that you: Review the Civil Service qualifications, responsibilities, as well as skill sets necessary to perform the job(s); and submit your resume in the prescribed format required in the job flyer, and to the address noted in the job flyer.",http://www.nyc.gov/html/recruit/home.html,,
Family Justice Centers,,2126399675,"The New York City Family Justice Center Initiative of the MayorÃ¢â‚¬â„¢s Office to Combat Domestic Violence reduces barriers faced by victims of domestic violence who are seeking help.  This innovative program enables victims to meet with a prosecutor, speak with a trained counselor, and apply for housing and financial assistance in just one visit Ã¢â‚¬â€œ all in their native language while their children play safely in the next room.  By providing services in one location with partnering City agencies and community providers, the Brooklyn and Queens Centers are increasing the effectiveness of service delivery to break the cycle of violence.   Mayor Bloomberg has committed to opening a third Center in the Bronx.  The New York City Family Justice Center Initiative is a private/public partnership of the MayorÃ¢â‚¬â„¢s Fund to Advance New York City, a 501(c)(3) not-for-profit organization established to promote partnerships between the City and the private sector.",http://www.nyc.gov/html/ocdv/html/fjc/fjc.shtml,,
NYC Ladders for Leaders,,2126399675,"NYC Ladders for Leaders is an innovative program that offers high school and college students the opportunity to participate in summer internships with some of the most dynamic corporations and businesses in New York City. Participants receive pre-employment training before starting their seven-week summer internships, and also attend regular workshops throughout the summer that focus on work readiness, college orientation, health, and leadership development. NYC Ladders for Leaders is a partnership between the Commission on Women's Issues and the Department of Youth and Community Development.",http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,,
"Jackson Heights-Elmhurst Kehillah, Inc.",,7184574591,"501(C)(3) Community based Organization (CBO) founded in 1975, serving some of the poorest, most diverse neighborhoods  in Queens. The   Kehillah is a ""one-stop"" social service agency providing SafetyNet services -  case management, crisis intervention, Kosher Food Pantry, Kosher Meals-on-Wheels, ESL, Acculturation, Citizenship, Immigrants (former emigrees from the Former Soviet Union), Cultural and Community Events.",http://www.queens-kehillah@juno.com,,
"STRIVE, Inc.",,2123601100,"STRIVEÃ¢â‚¬â„¢s mission is to help men and women achieve financial independence, to assist others in adopting the STRIVE model, and to encourage effective employment policies and practices nationwide. A job provides a participant with much more than financial independence. It brings about fundamental and permanent changes including improvements in parenting, child development, housing, nutrition, health care and education (of parents and children). Moreover, these improvements greatly benefit the communities and regions where STRIVE graduates live by adding to consumer spending, increasing tax rolls and lowering public support. The accomplishment of these outcomes, pursued with the backing of funders having related objectives, will always be STRIVEÃ¢â‚¬â„¢s purpose.",http://www.striveinternational.org,,
sylk,,3478796798,"A true inclusion intergenerational, interdisciplinary performing arts youth center serving youth with different and traditional abilities improving their literacy through the performing arts.....",,,
